,Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
1367,1/4/2021,20:00,N,SPP_MEAN,19.55075803
1382,1/4/2021,21:00,N,SPP_MEAN,20.3081828
1397,1/4/2021,22:00,N,SPP_MEAN,20.58150147
1412,1/4/2021,23:00,N,SPP_MEAN,24.79491803
1427,1/4/2021,24:00:00,N,SPP_MEAN,33.60835172
1442,1/5/2021,1:00,N,SPP_MEAN,33.33394242
1457,1/5/2021,2:00,N,SPP_MEAN,29.442493
1472,1/5/2021,3:00,N,SPP_MEAN,26.16132113
1487,1/5/2021,4:00,N,SPP_MEAN,23.0049148
1502,1/5/2021,5:00,N,SPP_MEAN,20.44395142
1517,1/5/2021,6:00,N,SPP_MEAN,19.23652022
1532,1/5/2021,7:00,N,SPP_MEAN,20.04732478
1547,1/5/2021,8:00,N,SPP_MEAN,19.09889451
1562,1/5/2021,9:00,N,SPP_MEAN,17.47966705
1577,1/5/2021,10:00,N,SPP_MEAN,16.56065159
1592,1/5/2021,11:00,N,SPP_MEAN,16.21041533
1607,1/5/2021,12:00,N,SPP_MEAN,18.15293237
1622,1/5/2021,13:00,N,SPP_MEAN,21.6214873
1637,1/5/2021,14:00,N,SPP_MEAN,20.19824173
1652,1/5/2021,15:00,N,SPP_MEAN,18.07107089
1667,1/5/2021,16:00,N,SPP_MEAN,16.22041349
1682,1/5/2021,17:00,N,SPP_MEAN,15.43257471
1697,1/5/2021,18:00,N,SPP_MEAN,13.93610664
1712,1/5/2021,19:00,N,SPP_MEAN,11.11199376
1727,1/5/2021,20:00,N,SPP_MEAN,10.72168633
1742,1/5/2021,21:00,N,SPP_MEAN,8.515643512
1757,1/5/2021,22:00,N,SPP_MEAN,8.099811324
1772,1/5/2021,23:00,N,SPP_MEAN,9.781183106
1787,1/5/2021,24:00:00,N,SPP_MEAN,18.24744505
1802,1/6/2021,1:00,N,SPP_MEAN,16.50852169
1817,1/6/2021,2:00,N,SPP_MEAN,13.45192545
1832,1/6/2021,3:00,N,SPP_MEAN,12.20187235
1847,1/6/2021,4:00,N,SPP_MEAN,10.09131945
1862,1/6/2021,5:00,N,SPP_MEAN,10.06877442
1877,1/6/2021,6:00,N,SPP_MEAN,8.573263342
1892,1/6/2021,7:00,N,SPP_MEAN,8.19204228
1907,1/6/2021,8:00,N,SPP_MEAN,7.686068873
1922,1/6/2021,9:00,N,SPP_MEAN,7.612190341
1937,1/6/2021,10:00,N,SPP_MEAN,8.492604417
1952,1/6/2021,11:00,N,SPP_MEAN,10.8077602
1967,1/6/2021,12:00,N,SPP_MEAN,13.20432836
1982,1/6/2021,13:00,N,SPP_MEAN,18.44847201
1997,1/6/2021,14:00,N,SPP_MEAN,21.62779621
2012,1/6/2021,15:00,N,SPP_MEAN,19.88319721
2027,1/6/2021,16:00,N,SPP_MEAN,19.69953203
2042,1/6/2021,17:00,N,SPP_MEAN,18.65644963
2057,1/6/2021,18:00,N,SPP_MEAN,17.49666051
2072,1/6/2021,19:00,N,SPP_MEAN,16.14548877
2087,1/6/2021,20:00,N,SPP_MEAN,15.97677957
2102,1/6/2021,21:00,N,SPP_MEAN,14.52173578
2117,1/6/2021,22:00,N,SPP_MEAN,14.80041326
2132,1/6/2021,23:00,N,SPP_MEAN,19.53148258
2147,1/6/2021,24:00:00,N,SPP_MEAN,25.29881043
2162,1/7/2021,1:00,N,SPP_MEAN,25.56518417
2177,1/7/2021,2:00,N,SPP_MEAN,23.17846468
2192,1/7/2021,3:00,N,SPP_MEAN,23.05150604
2207,1/7/2021,4:00,N,SPP_MEAN,19.53803844
2222,1/7/2021,5:00,N,SPP_MEAN,18.47090356
2237,1/7/2021,6:00,N,SPP_MEAN,16.08984651
2252,1/7/2021,7:00,N,SPP_MEAN,14.58963501
2267,1/7/2021,8:00,N,SPP_MEAN,14.57905544
2282,1/7/2021,9:00,N,SPP_MEAN,15.07170402
2297,1/7/2021,10:00,N,SPP_MEAN,16.11588641
2312,1/7/2021,11:00,N,SPP_MEAN,18.38812263
2327,1/7/2021,12:00,N,SPP_MEAN,20.95716168
2342,1/7/2021,13:00,N,SPP_MEAN,23.99708595
2357,1/7/2021,14:00,N,SPP_MEAN,26.21973005
2372,1/7/2021,15:00,N,SPP_MEAN,25.97310995
2387,1/7/2021,16:00,N,SPP_MEAN,26.18478974
2402,1/7/2021,17:00,N,SPP_MEAN,26.34464721
2417,1/7/2021,18:00,N,SPP_MEAN,25.83069173
2432,1/7/2021,19:00,N,SPP_MEAN,25.26482404
2447,1/7/2021,20:00,N,SPP_MEAN,24.9053944
2462,1/7/2021,21:00,N,SPP_MEAN,24.25822887
2477,1/7/2021,22:00,N,SPP_MEAN,23.50337588
2492,1/7/2021,23:00,N,SPP_MEAN,24.79144265
2507,1/7/2021,24:00:00,N,SPP_MEAN,31.19859358
2522,1/8/2021,1:00,N,SPP_MEAN,29.64277394
2537,1/8/2021,2:00,N,SPP_MEAN,27.7633968
2552,1/8/2021,3:00,N,SPP_MEAN,26.47878438
2567,1/8/2021,4:00,N,SPP_MEAN,25.10717014
2582,1/8/2021,5:00,N,SPP_MEAN,23.85597917
2597,1/8/2021,6:00,N,SPP_MEAN,22.04784202
2612,1/8/2021,7:00,N,SPP_MEAN,24.92604113
2627,1/8/2021,8:00,N,SPP_MEAN,25.10713691
2642,1/8/2021,9:00,N,SPP_MEAN,25.26122543
2657,1/8/2021,10:00,N,SPP_MEAN,25.35313598
2672,1/8/2021,11:00,N,SPP_MEAN,27.25653657
2687,1/8/2021,12:00,N,SPP_MEAN,29.90081831
2702,1/8/2021,13:00,N,SPP_MEAN,36.98029938
2717,1/8/2021,14:00,N,SPP_MEAN,42.53259944
2732,1/8/2021,15:00,N,SPP_MEAN,39.91089004
2747,1/8/2021,16:00,N,SPP_MEAN,40.35571655
2762,1/8/2021,17:00,N,SPP_MEAN,37.98576252
2777,1/8/2021,18:00,N,SPP_MEAN,33.40365813
2792,1/8/2021,19:00,N,SPP_MEAN,30.09458782
2807,1/8/2021,20:00,N,SPP_MEAN,28.8502762
2822,1/8/2021,21:00,N,SPP_MEAN,28.17672692
2837,1/8/2021,22:00,N,SPP_MEAN,27.73525241
2852,1/8/2021,23:00,N,SPP_MEAN,29.0026073
2867,1/8/2021,24:00:00,N,SPP_MEAN,36.29554249
2882,1/9/2021,1:00,N,SPP_MEAN,33.82566592
2897,1/9/2021,2:00,N,SPP_MEAN,31.58935405
2912,1/9/2021,3:00,N,SPP_MEAN,30.37002495
2927,1/9/2021,4:00,N,SPP_MEAN,29.36262018
2942,1/9/2021,5:00,N,SPP_MEAN,29.75734688
2957,1/9/2021,6:00,N,SPP_MEAN,27.04225498
2972,1/9/2021,7:00,N,SPP_MEAN,25.45234671
2987,1/9/2021,8:00,N,SPP_MEAN,23.80745005
3002,1/9/2021,9:00,N,SPP_MEAN,24.16656201
3017,1/9/2021,10:00,N,SPP_MEAN,24.90934595
3032,1/9/2021,11:00,N,SPP_MEAN,26.08951655
3047,1/9/2021,12:00,N,SPP_MEAN,27.89459983
3062,1/9/2021,13:00,N,SPP_MEAN,28.7612502
3077,1/9/2021,14:00,N,SPP_MEAN,31.56718017
3092,1/9/2021,15:00,N,SPP_MEAN,34.26801118
3107,1/9/2021,16:00,N,SPP_MEAN,37.50886784
3122,1/9/2021,17:00,N,SPP_MEAN,34.29838603
3137,1/9/2021,18:00,N,SPP_MEAN,30.10939747
3152,1/9/2021,19:00,N,SPP_MEAN,27.97038128
3167,1/9/2021,20:00,N,SPP_MEAN,26.49754581
3182,1/9/2021,21:00,N,SPP_MEAN,25.62561988
3197,1/9/2021,22:00,N,SPP_MEAN,23.77551566
3212,1/9/2021,23:00,N,SPP_MEAN,26.1784845
3227,1/9/2021,24:00:00,N,SPP_MEAN,29.19381963
3242,1/10/2021,1:00,N,SPP_MEAN,27.81775389
3257,1/10/2021,2:00,N,SPP_MEAN,26.93530606
3272,1/10/2021,3:00,N,SPP_MEAN,25.44751868
3287,1/10/2021,4:00,N,SPP_MEAN,24.31052214
3302,1/10/2021,5:00,N,SPP_MEAN,24.10177128
3317,1/10/2021,6:00,N,SPP_MEAN,22.71614393
3332,1/10/2021,7:00,N,SPP_MEAN,25.16076381
3347,1/10/2021,8:00,N,SPP_MEAN,23.67735261
3362,1/10/2021,9:00,N,SPP_MEAN,23.38008533
3377,1/10/2021,10:00,N,SPP_MEAN,23.38048691
3392,1/10/2021,11:00,N,SPP_MEAN,24.08958515
3407,1/10/2021,12:00,N,SPP_MEAN,25.32981005
3422,1/10/2021,13:00,N,SPP_MEAN,26.78875617
3437,1/10/2021,14:00,N,SPP_MEAN,29.37922362
3452,1/10/2021,15:00,N,SPP_MEAN,30.33544962
3467,1/10/2021,16:00,N,SPP_MEAN,32.16716208
3482,1/10/2021,17:00,N,SPP_MEAN,30.56864617
3497,1/10/2021,18:00,N,SPP_MEAN,27.8183256
3512,1/10/2021,19:00,N,SPP_MEAN,27.30765613
3527,1/10/2021,20:00,N,SPP_MEAN,26.49436657
3542,1/10/2021,21:00,N,SPP_MEAN,24.87999567
3557,1/10/2021,22:00,N,SPP_MEAN,24.74583438
3572,1/10/2021,23:00,N,SPP_MEAN,27.77800038
