,COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,FUEL_TYPE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,Industry,Label,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group,Temperature Band
0,HARRIS,48201,1006264,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1006264,2502.06540906,2693.35164906,0.136704726,748153.8343725887,85.40568885531836,NG_Type,100-300 C
0,HARRIS,48201,1006264,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1006264,75.92261708999999,75.92261708999999,0.003822181,21089.632730026024,2.4074923207792263,NG_Type,100-300 C
0,HARRIS,48201,1004227,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1004227,68.85589824,68.85589824,0.00346642,19126.653701310723,2.1834079567706306,NG_Type,100-300 C
0,HARRIS,48201,1004227,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1004227,14.70360327,14.70360327,0.000740225,4084.3375091340604,0.46624857410206166,NG_Type,100-300 C
0,HUTCHINSON COUNTY,48233,1011974,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1011974,409.824338,409.824338,0.020631832,113840.184960964,12.995454904219635,NG_Type,100-300 C
0,HUTCHINSON COUNTY,48233,1011974,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1011974,87.51457217,87.51457217,0.004405755999999999,24309.62282823826,2.7750710991139567,NG_Type,100-300 C
0,GREGG,48183,1011708,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1011708,0.305654716,0.305654716,1.5399999999999998e-05,84.904155701048,0.009692255217014611,NG_Type,100-300 C
0,GREGG,48183,1011708,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1011708,0.065270017,0.065270017,3.29e-06,18.130574782226002,0.002069700317605708,NG_Type,100-300 C
0,HARRIS,48201,1003944,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1003944,494.1251561000001,494.1251561000001,0.024875797,137257.09761114584,15.668618448760942,NG_Type,100-300 C
0,HARRIS,48201,1003944,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1003944,105.5163094,105.5163094,0.005312019,29310.1093925132,3.3459028986887214,NG_Type,100-300 C
0,HARRIS COUNTY,48201,1001712,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1001712,0.517741661,0.517741661,2.61e-05,143.817243109258,0.01641749350562306,NG_Type,100-300 C
0,HARRIS COUNTY,48201,1001712,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1001712,0.110559417,0.110559417,5.57e-06,30.710973735426002,0.003505818919569178,NG_Type,100-300 C
0,MATAGORDA COUNTY,48321,1006120,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1006120,465.6793065,491.18294179,0.025198539000000002,136439.81520454262,15.575321370381577,NG_Type,100-300 C
0,MATAGORDA COUNTY,48321,1006120,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1006120,99.44193523,99.44193523,0.005006216,27622.78188431894,3.153285603232756,NG_Type,100-300 C
0,HARRIS,48201,1006274,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1006274,517.771603,517.7881296310001,0.026067332999999998,143830.1510726399,16.41896701742465,NG_Type,100-300 C
0,HARRIS,48201,1006274,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1006274,110.5658111,110.5658111,0.005566226999999999,30712.749875735804,3.5060216753123066,NG_Type,100-300 C
0,JEFFERSON,48245,1004714,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1004714,1884.6769576000002,1884.6769576000002,0.094880501,523521.79592821293,59.76276209226175,NG_Type,100-300 C
0,JEFFERSON,48245,1004714,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1004714,402.45705876,402.45705876,0.020260939999999998,111793.71686823528,12.761839825141013,NG_Type,100-300 C
0,CHAMBERS COUNTY,48071,1004621,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1004621,723.6943039,723.6943039,0.036433022,201026.35634873423,22.948214195060984,NG_Type,100-300 C
0,CHAMBERS COUNTY,48071,1004621,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1004621,154.5388878,154.5388878,0.007779968000000001,42927.503175308404,4.900399905857124,NG_Type,100-300 C
0,BRAZORIA,48039,1006453,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1006453,1617.664483,1617.664483,0.081438262,449351.60475877405,51.295845292097496,NG_Type,100-300 C
0,BRAZORIA,48039,1006453,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1006453,345.43876989999995,345.43876989999995,0.017390462,95955.2906252822,10.95380029968975,NG_Type,100-300 C
0,HARRIS,48201,1007574,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1007574,218.01914218,295.57148096,0.015331238,82103.25483810689,9.372517675582978,NG_Type,100-300 C
0,HARRIS,48201,1007574,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1007574,46.55617099,46.55617099,0.002343783,12932.28006526022,1.4762876786826737,NG_Type,100-300 C
0,HARRIS COUNTY,48201,1001710,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1001710,1549.568355,1549.568355,0.07801009099999999,430435.99851519003,49.136529510866445,NG_Type,100-300 C
0,HARRIS COUNTY,48201,1001710,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1001710,330.89740919999997,330.89740919999997,0.016658405,91916.0205327576,10.49269640784904,NG_Type,100-300 C
0,JEFFERSON,48245,1006416,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,260,Plastics Materials and Resins,Plastics Materials and Resins_1006416,299.74622289999996,299.74622289999996,0.015090157,83262.90630471619,9.504897979990433,NG_Type,100-300 C
0,JEFFERSON,48245,1006416,325211,Natural Gas (Weighted U.S. Average),325211,2015,TX,291,Plastics Materials and Resins,Plastics Materials and Resins_1006416,64.00830802,64.00830802,0.0032223770000000002,17780.099785179562,2.029691756299037,NG_Type,100-300 C
