,Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
2,01/01/2021,01:00,N,HB_HUBAVG,18.26
17,01/01/2021,02:00,N,HB_HUBAVG,17.65
32,01/01/2021,03:00,N,HB_HUBAVG,17.13
47,01/01/2021,04:00,N,HB_HUBAVG,17.26
62,01/01/2021,05:00,N,HB_HUBAVG,17.33
77,01/01/2021,06:00,N,HB_HUBAVG,18.17
92,01/01/2021,07:00,N,HB_HUBAVG,18.43
107,01/01/2021,08:00,N,HB_HUBAVG,19.89
122,01/01/2021,09:00,N,HB_HUBAVG,24.68
137,01/01/2021,10:00,N,HB_HUBAVG,21.89
152,01/01/2021,11:00,N,HB_HUBAVG,18.61
167,01/01/2021,12:00,N,HB_HUBAVG,18.3
182,01/01/2021,13:00,N,HB_HUBAVG,17.53
197,01/01/2021,14:00,N,HB_HUBAVG,16.46
212,01/01/2021,15:00,N,HB_HUBAVG,16.25
227,01/01/2021,16:00,N,HB_HUBAVG,16.12
242,01/01/2021,17:00,N,HB_HUBAVG,18.44
257,01/01/2021,18:00,N,HB_HUBAVG,33.75
272,01/01/2021,19:00,N,HB_HUBAVG,34.35
287,01/01/2021,20:00,N,HB_HUBAVG,26.83
302,01/01/2021,21:00,N,HB_HUBAVG,26.71
317,01/01/2021,22:00,N,HB_HUBAVG,22.75
332,01/01/2021,23:00,N,HB_HUBAVG,19.48
347,01/01/2021,24:00,N,HB_HUBAVG,19.38
362,01/02/2021,01:00,N,HB_HUBAVG,22.08
377,01/02/2021,02:00,N,HB_HUBAVG,18.34
392,01/02/2021,03:00,N,HB_HUBAVG,18.27
407,01/02/2021,04:00,N,HB_HUBAVG,18.5
422,01/02/2021,05:00,N,HB_HUBAVG,18.4
437,01/02/2021,06:00,N,HB_HUBAVG,20.8
452,01/02/2021,07:00,N,HB_HUBAVG,29.81
467,01/02/2021,08:00,N,HB_HUBAVG,31.59
482,01/02/2021,09:00,N,HB_HUBAVG,31.48
497,01/02/2021,10:00,N,HB_HUBAVG,19.72
512,01/02/2021,11:00,N,HB_HUBAVG,20.68
527,01/02/2021,12:00,N,HB_HUBAVG,18.69
542,01/02/2021,13:00,N,HB_HUBAVG,18.14
557,01/02/2021,14:00,N,HB_HUBAVG,16.33
572,01/02/2021,15:00,N,HB_HUBAVG,15.11
587,01/02/2021,16:00,N,HB_HUBAVG,14.33
602,01/02/2021,17:00,N,HB_HUBAVG,15.49
617,01/02/2021,18:00,N,HB_HUBAVG,19.78
632,01/02/2021,19:00,N,HB_HUBAVG,19.02
647,01/02/2021,20:00,N,HB_HUBAVG,18.06
662,01/02/2021,21:00,N,HB_HUBAVG,17.32
677,01/02/2021,22:00,N,HB_HUBAVG,17.41
692,01/02/2021,23:00,N,HB_HUBAVG,17.43
707,01/02/2021,24:00,N,HB_HUBAVG,16.28
722,01/03/2021,01:00,N,HB_HUBAVG,15.24
737,01/03/2021,02:00,N,HB_HUBAVG,15.15
752,01/03/2021,03:00,N,HB_HUBAVG,15.01
767,01/03/2021,04:00,N,HB_HUBAVG,15.16
782,01/03/2021,05:00,N,HB_HUBAVG,15.41
797,01/03/2021,06:00,N,HB_HUBAVG,17.0
812,01/03/2021,07:00,N,HB_HUBAVG,18.25
827,01/03/2021,08:00,N,HB_HUBAVG,20.12
842,01/03/2021,09:00,N,HB_HUBAVG,20.48
857,01/03/2021,10:00,N,HB_HUBAVG,19.65
872,01/03/2021,11:00,N,HB_HUBAVG,18.66
887,01/03/2021,12:00,N,HB_HUBAVG,17.43
902,01/03/2021,13:00,N,HB_HUBAVG,17.27
917,01/03/2021,14:00,N,HB_HUBAVG,16.64
932,01/03/2021,15:00,N,HB_HUBAVG,15.8
947,01/03/2021,16:00,N,HB_HUBAVG,15.78
962,01/03/2021,17:00,N,HB_HUBAVG,18.13
977,01/03/2021,18:00,N,HB_HUBAVG,26.09
992,01/03/2021,19:00,N,HB_HUBAVG,22.7
1007,01/03/2021,20:00,N,HB_HUBAVG,20.1
1022,01/03/2021,21:00,N,HB_HUBAVG,18.92
1037,01/03/2021,22:00,N,HB_HUBAVG,18.81
1052,01/03/2021,23:00,N,HB_HUBAVG,17.49
1067,01/03/2021,24:00,N,HB_HUBAVG,16.01
1082,01/04/2021,01:00,N,HB_HUBAVG,16.2
1097,01/04/2021,02:00,N,HB_HUBAVG,15.51
1112,01/04/2021,03:00,N,HB_HUBAVG,15.53
1127,01/04/2021,04:00,N,HB_HUBAVG,15.51
1142,01/04/2021,05:00,N,HB_HUBAVG,16.1
1157,01/04/2021,06:00,N,HB_HUBAVG,17.58
1172,01/04/2021,07:00,N,HB_HUBAVG,29.4
1187,01/04/2021,08:00,N,HB_HUBAVG,28.22
1202,01/04/2021,09:00,N,HB_HUBAVG,21.78
1217,01/04/2021,10:00,N,HB_HUBAVG,18.05
1232,01/04/2021,11:00,N,HB_HUBAVG,17.91
