,Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
2,01/01/2018,01:00,N,HB_HUBAVG,27.18
16,01/01/2018,02:00,N,HB_HUBAVG,25.52
30,01/01/2018,03:00,N,HB_HUBAVG,25.75
44,01/01/2018,04:00,N,HB_HUBAVG,26.76
58,01/01/2018,05:00,N,HB_HUBAVG,28.07
72,01/01/2018,06:00,N,HB_HUBAVG,30.89
86,01/01/2018,07:00,N,HB_HUBAVG,36.31
100,01/01/2018,08:00,N,HB_HUBAVG,40.51
114,01/01/2018,09:00,N,HB_HUBAVG,58.49
128,01/01/2018,10:00,N,HB_HUBAVG,63.78
142,01/01/2018,11:00,N,HB_HUBAVG,55.53
156,01/01/2018,12:00,N,HB_HUBAVG,40.9
170,01/01/2018,13:00,N,HB_HUBAVG,37.15
184,01/01/2018,14:00,N,HB_HUBAVG,34.33
198,01/01/2018,15:00,N,HB_HUBAVG,33.68
212,01/01/2018,16:00,N,HB_HUBAVG,32.53
226,01/01/2018,17:00,N,HB_HUBAVG,34.77
240,01/01/2018,18:00,N,HB_HUBAVG,53.82
254,01/01/2018,19:00,N,HB_HUBAVG,66.19
268,01/01/2018,20:00,N,HB_HUBAVG,61.45
282,01/01/2018,21:00,N,HB_HUBAVG,54.56
296,01/01/2018,22:00,N,HB_HUBAVG,43.43
310,01/01/2018,23:00,N,HB_HUBAVG,41.68
324,01/01/2018,24:00,N,HB_HUBAVG,35.75
338,01/02/2018,01:00,N,HB_HUBAVG,36.03
352,01/02/2018,02:00,N,HB_HUBAVG,32.24
366,01/02/2018,03:00,N,HB_HUBAVG,33.11
380,01/02/2018,04:00,N,HB_HUBAVG,35.53
394,01/02/2018,05:00,N,HB_HUBAVG,48.61
408,01/02/2018,06:00,N,HB_HUBAVG,55.0
422,01/02/2018,07:00,N,HB_HUBAVG,169.16
436,01/02/2018,08:00,N,HB_HUBAVG,191.56
450,01/02/2018,09:00,N,HB_HUBAVG,120.31
464,01/02/2018,10:00,N,HB_HUBAVG,99.6
478,01/02/2018,11:00,N,HB_HUBAVG,67.63
492,01/02/2018,12:00,N,HB_HUBAVG,52.88
506,01/02/2018,13:00,N,HB_HUBAVG,43.27
520,01/02/2018,14:00,N,HB_HUBAVG,38.56
534,01/02/2018,15:00,N,HB_HUBAVG,36.82
548,01/02/2018,16:00,N,HB_HUBAVG,37.22
562,01/02/2018,17:00,N,HB_HUBAVG,42.76
576,01/02/2018,18:00,N,HB_HUBAVG,83.84
590,01/02/2018,19:00,N,HB_HUBAVG,105.59
604,01/02/2018,20:00,N,HB_HUBAVG,77.09
618,01/02/2018,21:00,N,HB_HUBAVG,70.16
632,01/02/2018,22:00,N,HB_HUBAVG,52.42
646,01/02/2018,23:00,N,HB_HUBAVG,46.45
660,01/02/2018,24:00,N,HB_HUBAVG,38.1
674,01/03/2018,01:00,N,HB_HUBAVG,33.06
688,01/03/2018,02:00,N,HB_HUBAVG,31.59
702,01/03/2018,03:00,N,HB_HUBAVG,31.37
716,01/03/2018,04:00,N,HB_HUBAVG,32.14
730,01/03/2018,05:00,N,HB_HUBAVG,44.72
744,01/03/2018,06:00,N,HB_HUBAVG,52.47
758,01/03/2018,07:00,N,HB_HUBAVG,108.53
772,01/03/2018,08:00,N,HB_HUBAVG,100.97
786,01/03/2018,09:00,N,HB_HUBAVG,67.85
800,01/03/2018,10:00,N,HB_HUBAVG,66.28
814,01/03/2018,11:00,N,HB_HUBAVG,59.3
828,01/03/2018,12:00,N,HB_HUBAVG,52.99
842,01/03/2018,13:00,N,HB_HUBAVG,48.34
856,01/03/2018,14:00,N,HB_HUBAVG,45.95
870,01/03/2018,15:00,N,HB_HUBAVG,44.75
884,01/03/2018,16:00,N,HB_HUBAVG,44.98
898,01/03/2018,17:00,N,HB_HUBAVG,48.05
912,01/03/2018,18:00,N,HB_HUBAVG,55.25
926,01/03/2018,19:00,N,HB_HUBAVG,68.8
940,01/03/2018,20:00,N,HB_HUBAVG,65.28
954,01/03/2018,21:00,N,HB_HUBAVG,64.97
968,01/03/2018,22:00,N,HB_HUBAVG,58.94
982,01/03/2018,23:00,N,HB_HUBAVG,53.37
996,01/03/2018,24:00,N,HB_HUBAVG,51.64
1010,01/04/2018,01:00,N,HB_HUBAVG,42.69
1024,01/04/2018,02:00,N,HB_HUBAVG,42.28
1038,01/04/2018,03:00,N,HB_HUBAVG,42.64
1052,01/04/2018,04:00,N,HB_HUBAVG,44.35
1066,01/04/2018,05:00,N,HB_HUBAVG,45.72
1080,01/04/2018,06:00,N,HB_HUBAVG,58.92
1094,01/04/2018,07:00,N,HB_HUBAVG,90.37
1108,01/04/2018,08:00,N,HB_HUBAVG,76.93
1122,01/04/2018,09:00,N,HB_HUBAVG,56.26
1136,01/04/2018,10:00,N,HB_HUBAVG,58.67
1150,01/04/2018,11:00,N,HB_HUBAVG,51.82
1164,01/04/2018,12:00,N,HB_HUBAVG,45.47
1178,01/04/2018,13:00,N,HB_HUBAVG,43.61
1192,01/04/2018,14:00,N,HB_HUBAVG,40.23
1206,01/04/2018,15:00,N,HB_HUBAVG,38.2
1220,01/04/2018,16:00,N,HB_HUBAVG,39.17
1234,01/04/2018,17:00,N,HB_HUBAVG,42.92
1248,01/04/2018,18:00,N,HB_HUBAVG,53.04
1262,01/04/2018,19:00,N,HB_HUBAVG,59.26
1276,01/04/2018,20:00,N,HB_HUBAVG,54.93
1290,01/04/2018,21:00,N,HB_HUBAVG,53.91
1304,01/04/2018,22:00,N,HB_HUBAVG,47.01
1318,01/04/2018,23:00,N,HB_HUBAVG,48.94
1332,01/04/2018,24:00,N,HB_HUBAVG,49.06
1346,01/05/2018,01:00,N,HB_HUBAVG,40.06
1360,01/05/2018,02:00,N,HB_HUBAVG,33.75
1374,01/05/2018,03:00,N,HB_HUBAVG,34.96
1388,01/05/2018,04:00,N,HB_HUBAVG,34.94
1402,01/05/2018,05:00,N,HB_HUBAVG,39.66
1416,01/05/2018,06:00,N,HB_HUBAVG,44.41
1430,01/05/2018,07:00,N,HB_HUBAVG,54.64
1444,01/05/2018,08:00,N,HB_HUBAVG,54.39
1458,01/05/2018,09:00,N,HB_HUBAVG,41.27
1472,01/05/2018,10:00,N,HB_HUBAVG,33.83
1486,01/05/2018,11:00,N,HB_HUBAVG,36.24
1500,01/05/2018,12:00,N,HB_HUBAVG,31.95
1514,01/05/2018,13:00,N,HB_HUBAVG,30.2
1528,01/05/2018,14:00,N,HB_HUBAVG,27.15
1542,01/05/2018,15:00,N,HB_HUBAVG,26.72
1556,01/05/2018,16:00,N,HB_HUBAVG,26.23
1570,01/05/2018,17:00,N,HB_HUBAVG,27.37
1584,01/05/2018,18:00,N,HB_HUBAVG,41.07
1598,01/05/2018,19:00,N,HB_HUBAVG,38.85
1612,01/05/2018,20:00,N,HB_HUBAVG,32.68
1626,01/05/2018,21:00,N,HB_HUBAVG,30.59
1640,01/05/2018,22:00,N,HB_HUBAVG,30.03
1654,01/05/2018,23:00,N,HB_HUBAVG,28.9
1668,01/05/2018,24:00,N,HB_HUBAVG,29.36
1682,01/06/2018,01:00,N,HB_HUBAVG,21.99
1696,01/06/2018,02:00,N,HB_HUBAVG,20.83
1710,01/06/2018,03:00,N,HB_HUBAVG,20.68
1724,01/06/2018,04:00,N,HB_HUBAVG,21.4
1738,01/06/2018,05:00,N,HB_HUBAVG,24.03
1752,01/06/2018,06:00,N,HB_HUBAVG,25.08
1766,01/06/2018,07:00,N,HB_HUBAVG,29.63
1780,01/06/2018,08:00,N,HB_HUBAVG,31.61
1794,01/06/2018,09:00,N,HB_HUBAVG,31.53
1808,01/06/2018,10:00,N,HB_HUBAVG,31.65
1822,01/06/2018,11:00,N,HB_HUBAVG,25.33
1836,01/06/2018,12:00,N,HB_HUBAVG,23.68
1850,01/06/2018,13:00,N,HB_HUBAVG,22.47
1864,01/06/2018,14:00,N,HB_HUBAVG,20.4
1878,01/06/2018,15:00,N,HB_HUBAVG,19.89
1892,01/06/2018,16:00,N,HB_HUBAVG,19.94
1906,01/06/2018,17:00,N,HB_HUBAVG,19.42
1920,01/06/2018,18:00,N,HB_HUBAVG,22.61
1934,01/06/2018,19:00,N,HB_HUBAVG,21.41
1948,01/06/2018,20:00,N,HB_HUBAVG,20.0
1962,01/06/2018,21:00,N,HB_HUBAVG,18.04
1976,01/06/2018,22:00,N,HB_HUBAVG,17.24
1990,01/06/2018,23:00,N,HB_HUBAVG,15.44
2004,01/06/2018,24:00,N,HB_HUBAVG,13.09
2018,01/07/2018,01:00,N,HB_HUBAVG,12.08
2032,01/07/2018,02:00,N,HB_HUBAVG,6.69
2046,01/07/2018,03:00,N,HB_HUBAVG,5.24
2060,01/07/2018,04:00,N,HB_HUBAVG,7.6
2074,01/07/2018,05:00,N,HB_HUBAVG,8.79
2088,01/07/2018,06:00,N,HB_HUBAVG,13.15
2102,01/07/2018,07:00,N,HB_HUBAVG,16.66
2116,01/07/2018,08:00,N,HB_HUBAVG,16.44
2130,01/07/2018,09:00,N,HB_HUBAVG,16.82
2144,01/07/2018,10:00,N,HB_HUBAVG,18.04
2158,01/07/2018,11:00,N,HB_HUBAVG,18.34
2172,01/07/2018,12:00,N,HB_HUBAVG,17.71
2186,01/07/2018,13:00,N,HB_HUBAVG,17.82
2200,01/07/2018,14:00,N,HB_HUBAVG,18.26
2214,01/07/2018,15:00,N,HB_HUBAVG,17.89
2228,01/07/2018,16:00,N,HB_HUBAVG,19.01
2242,01/07/2018,17:00,N,HB_HUBAVG,18.84
2256,01/07/2018,18:00,N,HB_HUBAVG,22.64
2270,01/07/2018,19:00,N,HB_HUBAVG,28.72
2284,01/07/2018,20:00,N,HB_HUBAVG,22.41
2298,01/07/2018,21:00,N,HB_HUBAVG,21.67
2312,01/07/2018,22:00,N,HB_HUBAVG,20.34
2326,01/07/2018,23:00,N,HB_HUBAVG,17.72
2340,01/07/2018,24:00,N,HB_HUBAVG,17.57
2354,01/08/2018,01:00,N,HB_HUBAVG,16.84
2368,01/08/2018,02:00,N,HB_HUBAVG,15.46
2382,01/08/2018,03:00,N,HB_HUBAVG,15.23
2396,01/08/2018,04:00,N,HB_HUBAVG,15.84
2410,01/08/2018,05:00,N,HB_HUBAVG,17.65
2424,01/08/2018,06:00,N,HB_HUBAVG,19.5
2438,01/08/2018,07:00,N,HB_HUBAVG,24.91
2452,01/08/2018,08:00,N,HB_HUBAVG,27.09
